MainOP,Option,Measure1,Measure2
3z7HznnHh,"LlxEJ730,za4u3e2Bq,I93uu5,lGWNUEIo,WsTjSW,wFqgrdN80,8Ic4mkJW,tr5b2",0.30543,-0.583
QiidFLr0yNHvcGDgV,"6dH5f,fou3ZL,bjTkY",0.59062,0.434
csSqbKUNd89OGWhqreX,"NProopH,whOlmm0c,y2Uu3EnOtV,r6FYIA4u,IYaY5,wHwx12S",0.25028,-0.09
7MuYYQxdTH83Q5,"5LpQIDzd,ArsqSwmQ,w7uFGls,xKFghazSP,Nwdvx6n",0.58482,0.216
1WIaBvL,"51bNI2,pkiPU,Nah1d,0dnp6EJss",0.02378,0.11
P5M6VpF8XVqNlSUar4LP,RMpprcuHa,0.88866,0.999
DvccES4gb5vWI,"GYA858,fdcQ4,E3jeLWJAH",0.99418,0.989
0llLY1pUjkzyH,"FAi5oue0q,4FPt4VG,WujGe6,oQXb7vvX,xmsN3,flSaGk0,LWdnCWNX8T,pOu9eVkc,R38Dtl,PIg6gv3ml0",0.97431,0.469
7bzPAK5B8Jjus,"61TlQK,h5Rspy9Wv",0.02033,0.316
erSIPAEcJGjrxncsKs,"Kfx1j7Dmg,75o2c,7wwmIq,VflU0L,hIVfP1BgvH,rLUiv3XIG,3SgLSvgMCP,KGPok5FUn,wnHClzz,dOIsq",0.93542,-0.441
pQLYnknhRNN,"5YFxUF5osU,0LJJG3zEoq,5PcGO2",0.42145,-0.468
Cf3NrUkKV3SkhoUbv,tsdd9iVp,0.42848,0.405
j6tGi2Lw6,"eq2doBX,XZhYVZ,vxLy7WNZ,ZoLZF,obrE3w2Ko,5mBIW4Ob3,7vBebXfV,qTKl34yoo",0.2765,0.442
cyRSI4vwxToeFKKRNmp9,"Bc65v7,uueUiYJoY,SGiyH,uyE8mb8Ny5,5dViV5Qt,tfegXlr6BY,xUocQ67,pdMhC,mxZkSep8IH",0.84147,-0.327
wOdWbGBFrrdh8rwR3GX,"rtEsFyB,Y5qU6FmQal",0.05478,0.63
qIywSP,"1d7UE6,IgEfaF,ixKw8sv,sV2XPAwwtp,bB0hbz6RJ,tZOkn9,71YGwr,RKOZUeB",0.7326,-0.862
JvY8nyfchQ,"JPDWt,vQqWr,jkMXIZRfe,BHcID,TzWg26,TR3bTcKlHM,pzza1LDB",0.22887,0.027
i4GxXT60oC,"gikO1AX,BqVBUVI6Fm,DZ8prU6v9,cBsouB,OVG5pjsWIm,CLyCq,LBz0JI,eLsPTdZv",0.77652,-0.368
hVr0wyy,"Uw3NcSc2n,S83f6ywi7",0.13986,0.377
qG1nNvHPZoywwmx7,"W2xWJWk,hkGRFa,6xMtWd,OGNDXKX9,LaF1jSdb,k1N4Neh,pGI4vw,lbeLZZ",0.93682,0.421
sTntybZgAyeHYnZzfL,"iloVY3dP,bgkr4,BUCQUEzM7,duRWQVIAf,ZmKVmILiM,QNQ7g8ef2s,qnyXaHUtJ,bVpYlfIKR",0.82059,0.815
fLtKQwAQhI,"7L9Q5,iGGEoLGt",0.28257,-0.471
GBQbnsO5VO,"M6XyT3E,5ZHgn6,f6FV3DX,YlL0yGJ,jZaD0t,vyvvuWso1,XYc6p4,hZTRdOgj",0.6579,0.057
4FDq7mYgLk7Lk3K,"Yenkpo0oC,QSVvEm6,bJWVCYaDGU,qhOum94P,YoTtghQ",0.4089,0.842
3H1BgskWgXAsoG,"QNwi6jWdNT,OhpQI,lMTh5vIAM,Zdc6p,qHC9NKWGMy,9mcDrNUb,KeYFzXjw,DqqqnAw,HTalYbC",0.60064,-0.516
7nfvHdXcAViZ1NchW,ZNMDLdAxz,0.5258,-0.18
qyU0JulAtO5,"YgAKK,4Vv4PrCNOB,4avlhUMvet,OUSGr0cu",0.05117,-0.996
pVcwqTNVBdG2Vh,"weXzd,5oOS6,O8QUqlqYh2,kUrgNVf1Lr,mATEV,NwDZc,OmiZWoY,klK3OSxqEU",0.40063,0.259
AOc72PY,"N7SR8R,yNGGr79IL,6d56fdrm,5FAhn5,TlK4ZDg76",0.29833,-0.994
hSQCXStlZ4Hm466,"61aGi0d,Nv6nueDx,bpQ7QE,SfzGHddG,GeXS31,8tUhzE7p,04wx8S,1eo3BWQP,rSnO45wA,Zq25KHRF",0.75182,-0.178
hozy4ryZMIKJzPKy,"8DA9HPL9v,MEGuacb,ja7XV",0.95214,-0.894
s0KptBMQ,"xPNFnm,GvCxFlkj,7zwhQqKIlb,PxmgI,y5bpd3HCIV,XEzH1,PTzA7Jg",0.96132,-0.403
lS0xbNRBGgTk,"WRBkLExcx5,S4rfkTsu,964WoA,UCoUAI6,cDRnX5qN1F,JIeLq69g,xZESSpaI2,wAWd11QGx,SkhWdNml,9Krhr",0.25464,0.661
d7bDQdjE,"6zXEo,Qy3MVOZ,moqnwVpZ,YqrSv6V,erRT0dY5oO,nwP2KeS,VwaXRy,RjcDCqD,cyveUnj",0.92091,-0.679
3HyCei5EZDs,"Lsi1uhLs5,XDEg8W1gU,rYQY6rxwpP,XfQ3V",0.54546,0.078
9WcNVP5F8m,SmDzw,0.59465,0.415
FOKWQ69CJJoZy2eTDWDD,"eb0O4e,twY1jWSl,q5wQJ3QN,hJJ92X,k0SFJ,nEimF7wiS,4ZimeD0b,DEOVi,sKInzbd",0.46419,-0.062
F2U7B5VuSc,"gSdlQXitah,51EaSPRT0y,ayA4mG,KCnuxl,pbVv1C,i8EgSXAVb,xVnya,jf78Y3lXUF",0.35178,0.09
ExIABbqFF8Ao,"l2dvWmZfl,TJZERe,LXztf,4CTsK,Nuq6Iuz",0.40868,0.787
cfunhfjJbGoIElc6w0o,"kqAIdPG2,OIb3Vs",0.82385,0.09
ANAWJzqNhKpi8HnJ7VE,"tFk8gT4,U46EdcQALL,Unf1TKw",0.91294,0.444
AmdrK9RZJE5qaGa3UTD,"aKzIgO,jY6bS,ltm7O,Pr5nI8z4Dl,QD424hlIB,FRMUC7AQy",0.41172,0.84
FRicAUr584iM,"W1YMf2,niQzEAriCT,NYbHA,iojjO8Uo,MP513lKC,FENNI,JUj2SIy,wjfOxd3",0.32415,0.235
jc3qjjY4quXBP,"ixQhh5bkTG,6uWgf,RHvZuOYOY,gFsZ8qT0,nBbV0T,gKUmnzK,SFLYmSlpF,suhdat",0.79507,-0.652
Nd6f14zsjjpR894f5zBA,"E2Nnl04t,m3lO3d2Xry,VKirwAT,vy3vo,936pzEK",0.4695,0.977
Ivkq1FtSTmcbjKwI,"6PTPAL5AnD,ZFXNkjCm,6RDWi0O,ZeeuU,MJzGQkVC,ecchEzpfe4,oS2YAug",0.09951,-0.472
uIkX0QqF,"6gIt6Pu8pQ,HHnd2Rl,S5ETtzi,DqXvRQTYp,YbkInB6OFW",0.277,0.546
CPX1AYg8w1wpPKQ,"2w7S0aj,YB4t4hYCIz,527Hq,px3oRD,cU0rJ2E4rK,1xrxWb,kwaLsq3FHl,viSIqIbDM",0.28466,-0.783
ZSlhz0DHWt4RCX1,"aYQDpf2Wsj,hFDTluI5Lm,T1sw6,A5Lfye,kUAWQc,5gYgH9",0.95401,0.139
nvJRxjxc,Q8AVmbDZCf,0.01514,0.03
SvYX7ktvnpVYQu,"rNgwNB,J3gjWpb,kVfaDWyr,yE30G9Q,jUOZ3e",0.5606,0.993
qqQ149nHsR08HM,"wDnraLfIq,PI7ZRC,wB4yh,tj0RnrDW,Glu3Obb",0.87151,0.283
uHVQc6wSp4gWSSS,"05pmWXGKqq,EKSdYtJ",0.26878,0.538
7b1NnekPd,"IcZOtZ,Cq2v7z,hT3hN,b3iaHU,W092k5Ki,9UIGZVRp",0.47301,0.339
Fc8AUZefzJKlw,"Jzr1Qh,SXtgiKm,k2Zww",0.1406,0.754
c0JAeI7FaIz1089,"m8SOwSy6,31XbId35,QWAr5vxHM,9AZzs,cDdiNz,PAwkvh,BuVE6wN,rWtZqj",0.32739,-0.297
QyUq9TmyGABgDKOBw9t,"GcIWi,UZONIxrKP,84GUx5eBA",0.59964,0.852
m2lH1z9AmJGii9q1gK9L,wsf2pD,0.47388,-0.102
OfZDW3E,"KnssHMjjS,wFa8y,nbSc0,8k6d0,s8tPFkDb",0.81867,-0.0
GXemZrxAVEYYV2V1s,"rjcuCdm,De6fUWXps3,fTQNxZ,uX1vl",0.52122,-0.591
vsj1v65iF4,"K4b04DD,HnnFm9f9Wq",0.2665,0.552
MZUrM3S2NLuQE9Qn,"unmrZR947r,cPsVg,Ojp7Cp,hZjQOs2oP,kM84IuXpR",0.08527,0.706
Mzaz1f0yt,"NU56evaiGZ,8ghfEi9a,Wr8Yy7l,HGiqN4sKt,z1smDfV59W,D85exXjg",0.66866,0.024
przrHb0rd0cxvIjeP5,"j3QjU,K3xmVUV,QnMyvPrb,Vy0IB,0T0Ne6Mk5b,WnuRLEElsX,F8ExO9BuZ,seejPv,gwlZCJsx",0.30226,0.101
jDCLTdfrm3DfxhJO9r,"Tk0VvaWiz,g8xr8r5zyz,5amQY3y,BMMDKZ",0.90418,-0.514
vvwmY9QeFp2zL,Wu3MgK,0.25757,0.527
5hhkmJ,"Z7HDF,kRyWwqsgGN,3m1xFQCKmY,k25qmgJ,qDPgzjfHx,4hGaQ9YQT2,yc2c57,VKx5V,rmwl1kG4",0.79502,-0.654
pSNd3wbreg181K,"aLwBmNgQ,D7cEol5wsP,pijiVl6,SyKYv,o7Ack,uNkIQkcGVL,TteAmVzbCr,bGMUnm",0.70179,-0.762
5ioxvVlLETdjDm,"xEWctQknDU,57wtJOHd,7f8pkpNag,Ke9RysD8N4",0.10298,0.439
TJk9QZX5LyDQ,"WcQyAEd,lY5CH,eytdFH3n,mPl57QdSRq,KSS8Kp45PC,hBIjwIVxz,Ls33y8S",0.4527,-0.988
uovoh50edGdSKiDqb65c,"1VE9i8W,SJB5OamY,zZMGW,bEQSk",0.13501,0.011
1CgGZ7RMG3f,"OI1vU,Lvs2q,I0KBQ,yg889e,mbW4Yoz,QXtObxtVR,9xLm4x,JQflXL,yAHqRmIIT,aKYbT1E",0.85099,0.228
Kc4omLuhro9DkiR4,"cB1Zm,j9Pqp,JyYGk,alj6NM,48GNr,fGlLHDk2",0.52322,0.138
nr4fdug2IEF4uYoJ4Z,"HuxRppa,faRUS,nEXOXeW5g,wlL40e,nAnrVRL,WaBcJOqLEo,vQv17tU,mmiQZ4iM,rDdqb35B,EhrXmw2Qoc",0.70983,0.794
FgTI9UKt,"Gv8HozE,YSmDooyTrX,98ulS8uhKH",0.52022,-0.867
PfOjdvIcG,"Q3vrG,o7YGHZCm",0.66348,-0.371
RoSU3ngnLevBHbgbONth,"cfZ7aPveM5,qPwKCS119,L6gsQpxlW",0.86145,0.705
8CZEv4,"VXW20Ko,flzZQDP,5tUsjONw,9JzEw2UOg,fUkRD,HH9f4iZXZ,mf18xtOmj0,YFmzhx",0.24215,0.007
e55dJFd,"4w8Uhq,Tjc1Hp,Q5cYR9,q8CFMu4U,cVjFil",0.15698,-0.381
33Om2m0EuLa7BY,"bxnqWMU,rAFhMm,hcOAi",0.90414,-0.155
Ij9iRuN7t,"LV1EswBWh,o3LXX65Wm,Riwz0r,jtwZuk6qV,ODbtbfVBY",0.07593,0.882
SMifTxMubvN6c,"WroDi3,Qo32HpQ9,NvfqAwk,Dw0uLBQ,8Lsda,jxYGYvd,ti9dUq",0.17743,0.072
GCas7c0,"kWw8FBmd9P,0eunC,KDaNyi2jx,aaDzv12X,pVLcavN8,uUITbYlXC,4i628Lc,aFJjMnyXTK,Fo7CpiGf",0.44722,0.792
ZzUnFGZ92XDcu7qlYFc,"d6IIsNRqH,edLXU9F6b,ca8gfE3,pBju40",0.70655,-0.299
lhoLCI,"WKZNrAC0m1,egHKY9Ox,fBUpz5ZQ0,Z3lNTLiaam,c2xdTOLAOl",0.31692,-0.237
ViYlCGdRvgi,"xwRHM,DJV8l13CuP,92vV2vp,9l6cFq0N,13d5sCLx,IWh6fZCx,nx78bdr,Jsymr",0.89846,-0.668
jLu12mKe,"vvKY14,9n3EbDrUC,2BkMr,0Ywfjzk4vf,QmlPS9F,boEFGQgR,9VJ9Qx,HXl6vM,OohMuMmZk,SEYxWF",0.77522,0.223
a9EBarzOTiWAIKeK,"Zz1CigFmCu,yGSShkjTh,1BVpoT,5ssyLt,wcFHX,UC15es2q,1wgwcWDr8",0.5131,0.993
5ytrfQoSOCw42JZ,"h05wCJ9y,umpOpF,1zvNSf81MJ",0.71409,0.685
CY3CMlg1RDNWUMm,"br27U5ql,DYbzlGx,pIRjF,CdmbQ6N,Kr0pFYovL,gP2VB",0.71663,-0.553
626ZFmEyI,"bhme5sbB,vVamx,qnA7x7Hi,ptYJLf,oKLWidl,lHXCXrtnOV",0.23794,-0.894
dl6Ea5Prc,"OS7Mk,nLfCoW,7e0ZWzKmGC,KJx3pMX,DWjsiLbZTH,xNvVQf1I,2hqIzPijDs,eFnroj4",0.79349,-0.176
BTWCAGp7UgnTjh,"9rBGy,H0TW4K,qsC0tyuOp,gf26eX,ESXCsJYK,gLOikmv5,xWgm8fNka",0.54066,0.657
BeGMxhSrRFE,"WEVsxtgmj,Lqgtw,5cFPocyS9E,edCQ2m,P6BcIePnv,CoE50,UQlfffN,o0O8F9",0.9691,-0.643
RfFNebKazRh,k9nYffQT,0.15433,0.823
0WDrRdoZ2,"Hb8Z9j,ug3BdRYjCk,KPOTKP31g3,bCbr3quG3,yxlXY,IXvMm5vqOR,3rEEC0X7Y,TlhNpiuB,sDkvVW,EybJWJjq",0.91108,-0.199
EIUDlk56evzxb9GfFEy,"ZZTEX,hpamZm,vykyy,ia4eGZfdxQ,SWyXtsP8,tsKT3N,6zwRhSr,cDybE,SAaqbrv,NSTwWsF",0.31394,0.054
TxUwQFnKNLYctJn,"luEvjT,FxzEB",0.02122,0.71
PVPRbcpL2s6gICP2HT,"UTxwyLq,Kceecvc9,nGYPS9u12A,gmoH8H,OIFNIX0x,OoI1J,mBviS0yAF,OOhsGFr1,iTc1B",0.57811,0.738
0ZrduD3GjxtBZkJWd4rl,"GWi8KuV7,2wAjdc,5AlRzSfzd,JiF790zB,2LYl9A",0.93144,-0.807
VeaFcR5OW8l,"fInMX6uE,I34cp",0.76891,-0.577
0vNqybg7WRa6jUi0J2,"cIali,NT4DM,e3P7knIBkH,q0WDVkh",0.17605,-0.778
GvCwXC2F,"SX53MCAzs,L4bQ503Tlh",0.98663,-0.411
4fAhevejD3YC1hrUjF,"oRrrUw,Rhff5xiNK,XglUnia8jj,agq5W,r5qoMH,VKgglIhft9,MYY3pSqe1,asJzLYM7",0.49272,-0.781
9xn0px,zQbFvyL3d2,0.76151,-0.058
zvXE94c,"c52Lx44,RxF9E,HeNlpjLJ",0.60138,0.317
2GHXlC,"y9MKbijLXC,INemFcZ6Q,qzy4DeoU",0.12019,0.751
Agje5B4NIbwQ,"iseFY90CVs,WCHrJ9P",0.70086,-0.075
o1J6UtYJwINrmUl,"yhbMg,NyphBo14Ki,DcmVD",0.02696,0.192
TnVmsZCS,"CZrgtla,DFJb6vAR",0.31453,-0.938
nu7jeF,"lzcMl3Wb2X,ZcH0w",0.05365,-0.322
XM5sKQZWPjLNxNorYS8,"YRBwo3NM,LSLLjX96s,xvU4GYASUh,AS4H2,xJfPu",0.5488,-0.754
oDRxP3AyhqK7tA2,"atKnDr,yIUiEmF,KeRzGf,URbbVv",0.86272,-0.935
wZK55LIV0jZEiuBz,"1HlhF5,wCiyn8qK,dBgwb45g,4HKmbs4c",0.00456,0.376
6SiVemK85bjy,"ppUcpzP,zS0wou,Wm5pov,jAivhHGP,4lCm0OI,DgWXNUvc,EhEmZG,OwfVAjqu,7SgrYrtMmh,e1rrxY",0.75163,-0.409
6JKyeK0bUjd,"jXKCBDQJr1,Of85E3J,2wmwF,xGcBvp0",0.97538,-0.436
SyQCSYaoAbqpSaNXZQ,"DluD47,iCfENdGtLD,jPHtXUrw,NgrMZ3MwpS",0.14591,-0.132
O3MQWKB6TCO1,"3mvGt55hS,AcFl6L4Ae,c7mdLyCEd2",0.45146,-0.246
oOL8xOOOpj3cRrrzUqcB,"BAW4m490,Stu9oJJX,fNpvEtkZ9,pzRArjLZmk,P0HFa3,HqiiBoQ,597V55i3Nm,7SY3MNVwh,4StE0",0.79294,-0.257
ZlDaSFZkk,"6gEF6Ena5V,yODawaDl,a1GD9,iQbfNKa,cduZn,QEdDyk,vEOrs18",0.1862,0.013
OaDZma5,"emTmZjgpKl,vIUCQT,dxt1hZ,HjL824kVi5,JnvoYWwpK,nwtqMkDfYC,WqzUtYrGtR",0.55572,0.479
rfgSWXx0BDYd6OD,"OGJ7N5C2sn,5pzHwb",0.94474,-0.448
1EHdSOBT6Vnj,"rJ3zKt7kvt,iv5U0aJ64B,G7dVLKlC",0.5995,-0.273
HGh9FeL7,"lUekxOAo,vTmkr9,FTiw7Vo6,sWAFZDcdU,OPNuc7e,PGXHl5F6",0.88371,-0.516
og3rNR3xTH,"O84zB51Z,jXxIU,9DvuTvz8E,bdJ96HA,DOaQRgwzf8",0.00836,-0.187
hgzKEamFDhGrY,"Jyk897qd,9vnVyncjp,dlHsiY",0.12829,0.501
pbAgB1tyY6,"reLe3TK2YD,QkTh8Xmae5,ZU44Xf,vpRF2,1PsVZ,gLmQlg,99aofR6,faV4lOmdfJ",0.13619,0.373
Y89UIVmbbrLe,"1bnQ3O,NhXuY,smofSWdR",0.79985,0.805
PyZVSOHnt7pNeW1m,XAjAtZ2C,0.43536,0.769
yI53yFmVOzGo,"scLlyj,N063pE,yKOUOc,m8is45Xv,wLCO5W0sSe,z9sLlWY,4UbCj3b4eg,bZd6S",0.65344,0.067
R1FkE8G1,XngJpP,0.56921,0.192
cMEZY69IfyawDFpXR,"AlELg,yEZMLxi,RQ80f,6sEkFwW,8uBDFM,Y6XHF,0iPus",0.61473,0.315
tArGiWV6tDuVTQmUm0,"Y1CYoiCRL,CoBzq,v5nkVNACHU,8MgFthol,Z8dvyb,V8U87d4,CUUC4VVK,tm6n4,7oQpPD",0.74651,0.327
3D4j2NmVg6z,"qJHYUgny,vOSos5GDcx,AHiG3QpO,5Hx7sdbFOf,pWd4Cg,qQh4Cl,LdPs9ry,7kPOKK",0.90532,0.092
7HoKhWvENIR6ci,GJya133Rj,0.53171,-0.204
kFc9FEyqRGYw69mXSmF,"QBD4pAcc,qnU0Qe1O0D",0.51637,-0.047
M4oxwHT4Wpx,"Qm1NzIcZ4,hO2GBhnI,ysNdL,YmEANZp,CFmBWmgH,rAafSxZk8,OZTTghR,m8qtfm3XC,Z0lyfw75,0UNmVVF44I",0.64456,-0.554
Tj5jxlUFyAe,"49OzzGnQ,1hrWjj,F9VgZg1Gf,Nqx4eM,iuwpdpBm,vISOC,d5u6hqQniE,T6IJZ",0.06373,-0.747
bMvdH7xjt,"ufLiY5,gWSLOvbs,qz7PACSBc,47Loet2d1e,L6HQhI",0.72283,0.425
OrXgxtVTNxF,"6k6oskx,l7GzOX,Aqs4o,FPPhJR",0.174,0.382
AZwS2U,"YbzFxGQ,qxBkPbSEjs,6JIBu4zOA5,yI7NFwGk5,fxaHAHF,Hi64mRFk,XSf19GuDmh,dixMG2tLhB,ZizTOM8",0.01905,-0.55
rLtUBym0AEo2y7oPn2,"y3SMnW4Px,OdAbr1ujR,l0216,ASRHekDAPI,gK36I,cMfK09dA,kUvTtU4t,ZPqwT8N0lb,2EYQlHG",0.25948,0.271
bh6Yzedk7RO,cDFeO,0.88715,-0.154
5MY8OWKC,"x8z2ZZtwN,LFU9AZ17j6,DOoRs4h,FOoSKAy,MEjg0hW,ph9aF24b,MVA44MWi,NpZn4,DPRfCO6J8n,tzGwhUXFSp",0.47419,0.776
4dr0dKOCT0u5oHBW,"xlVfcDu6,OU6QHJi,GZlVUiXD,4neMu0mNj,ak3y5vL3N,zHPCvW6Jr,hkdaYry,LMrRgd9Th",0.28754,0.323
9mbfQR3dil,"Po94SaX,r9SbK6WB,uAZOxyZ,1wSu13grZ",0.21565,0.208
II4gKUreHrkQCWD,"oh1LNKB9P,fB9618NNKA,9mQWO4,djVauw172,duvovvK9TF,T78Pt6J,x8yKet,bsRAVL75O",0.57666,0.604
WHa752SD,"R4hV0MOvD,p5Y3s1,rSQhFKX,GqTmTjIeQD,5IRDW,aetjjuU",0.64109,0.584
ceOVkBHrFwT,"v5VJOwgd,NUSgJIp0zv,RBdCZER,Rmhc3E,Kjofbfg,BGK96,Fbe7OMmrN,Rl1eH,dOF3z95aA",0.28534,0.115
37vr0X,"R9p7d,LLqEWZoYr4,YvJTDc,9Gdj6dIuP,C5A40D6QM,mlk9z,eMxTLCRR9,4PJ9gz,eCCz2",0.12562,-0.689
0mfEfbdxxocAk3Bm,"H8OuEYK17g,haFyxe,o1kkrYv,cO1qlXn,93BlkT7VY",0.37313,0.623
3T8AY0sOCDm6u,"73Ko2N,fMrIKxVQAD",0.89574,-0.241
eetKoio9qMqmQLMbd4eF,"VJivM4bY0i,cO5pQ",0.29766,0.864
18TxCEa05NeXmD,"hVXPGziAm,TWoSUOde,T6UePjN,MKuPgUA,4rwd6fVa,L86413SS",0.70996,-0.757
h7fYG4,"k9SterCkSM,8r1gcz",0.13916,-0.726
NVuvEcBgTv,vWRMw,0.7657,-0.428
C6yjlNUYx179MvM,"72mA1C,mFhXtw,6UTKwC8L,snS7Mm,uO12D4ayS,SN8qyzUKtd,5fz88Otte,uI8At,L3vTM",0.72748,0.269
YFJEsaPLaWwlC,"q19JjZrVu,f9zVhP2",0.56675,-0.662
6lifLno,"cdIMleo4,9uVvCbUGfz,m5JUvPFIE,569xv2,cQTsZ8P5v8,kCFR3FSU,FcDICIsL8",0.23795,-0.386
yBr0NCtEYM,"fZwfP,YlCgo,bvsdDFwCv,PQDpPrgRV,MWIEI",0.74803,-0.36
JvtopFO2xYDxkRkUT,"xSFVjBx,B47jX,50D6QP,T1wY3Rei",0.5482,0.184
8uGvcbEZ3XEiCc,62qxYVlkW,0.94018,0.297
ssDkZG,"lZGSymI,dEcks,C6aPDF,aE9Eoe0os",0.57778,0.267
OvQyEuiV2dYJm34ay,"xTsfbniemt,e8v1pIcFQB,zKm3Mb,KELOSA16,Znacjseu,rmsU7,7jUdQGgj,sdKn6,HnzjNH,kGmEWK",0.91603,0.19
fdi4xsjQlYFfGYs,"KSBMUVCZ,0SJWg,a4oo16Ylau,DcTOPv",0.70753,0.114
AR1ZUHgge3,"DA2vYTCj,8a4i7UbIKO,8WOEJGE,T6MkQ,d4765,CStScde",0.20603,0.676
P4IyVTiJSgJiP0IBTJP,"i9b4AsN,Bz2pG6Og,tNGR68YCNO",0.72326,0.529
M3Akha2AC93BrGrRY,"dy8HrNFEn,FAVXp5pr0k,Wqpy0,6DSniH,Mob7fpI,pfrrahd2",0.36642,0.553
n0mBgEXICKv0xLgh,gsss4LQ,0.60072,0.28
6MhgLe,"wRQu2Ipjbi,k10vU1aK,0xkFOQK,ywFiw,lEuS0NTK,HqCC3bp,8RUxM5bVq0,bMvoFxlR",0.66578,0.675
2dU3RjMHm,"D8hEAUF1,MWLblzCS,POKJ6wv9,bmfpv7Mr,yk0NY7aN",0.25975,0.821
hIUQjKicmPjUPn7,"RaffG,xYLhbrh8,Bl0VCO,cZpIl",0.75315,0.736
24Y336kygucYvzgrTHY,"fPrX6ge9,jg87FASnl,bKuQUd4,p3Gz294z,Lwdaq,acVP7B50Vi,2eNDI,kz79IwQ9u7,eVk9d,cLFRoH0io",0.6215,-0.428
tSTRCn6Cb4jU6S8,"1tTCwjEov,BO45dL",0.10345,-0.488
kRwdTBLixBxrhxs6,"bkKxVOj,RxI9bqfE1,1uRHRV,I1cysnkiWy",0.4584,0.562
9OORoUc0Jc,"ziF6DA8ms0,BAirsC,HX5Cu,fMjo9CC87D,l4WmC",0.32239,0.57
6U2lJ9OsLQAcjxts,"X7SjneDHaP,2iTNomyS5,NmafV,pX8g4,eang2aG8Af",0.30289,0.271
DbIQa58xXpkrmjx7pqyf,"KIfa4oFo,SFNVHqzN9,ZGj3Gh,7SEX7Gj5,GmoEtg8,tUwp4E",0.38845,0.464
ihx6c8YCC,"Yar3Ot7lp,RfOuP,eSi4fW3N,ppWNFTjYvV,RZ7TUn,Riiw2mGLf2,pjVRrJI",0.29215,-0.935
XPpojhu9,"PZFWL,kUFXipkY8,bA2BuQ,0oyeBT,uYc3QSS2Ix,cqC3Of8e,xpFord8J,rvYwS,KtSlICun",0.90089,0.305
hPPAXrPs8Z8iJvVRx,"qPNPX,pGwuW3r",0.85291,0.46
afGHcyOlr9IZYa23IQK,"W60Iaqw2V,Cte8m,L8Fe5xaYP,kYBhUwVw,Qulrtw,IdwnE2Xp",0.48731,-0.234
7sSQoU6ckNFMyfj,"XY10m76TvJ,FmjJlI",0.42223,0.004
nBanJqtUIg,"oLivkGvy,IsjowWU",0.35088,0.76
sNTVeYnjVS4l,"2V1qCZvd5Q,gZVlAxMQb,HIQ6rnpeG,mpfnF,wPk1yyW,NfVwjJ27vO",0.36141,0.559
uMtKFL,"AQLEh,IdY1o,SI8yGe3E,lecGmL07U,d9nDUH",0.70273,-0.149
gPcIAQ,"ypJMwJnpg,KSKyR64,lybF3o0cP,KbKH8,P2CF4xCQ,pbjIbEVD,jCoX01s,BGvU10K7V,hkcKsKeORk,w3e36QQd",0.69013,-0.434
ZWl53KWnkzS3Z7,"2gnjtcSHE3,PsQCzL,FLnISHg0,q5NKOQp,mPFv0p,PCvtK4yoA,IN1KPO19,puhI6KB",0.38185,0.412
dmQtJ9sDnRpeLocSg,"YYYYYCpv53,56IhWJg,EslHtmVi,5yZtEr4",0.49109,-0.002
sjVmF3NYbMk1CRz,"yBaFLab,11m4kzAvW,piOAff",0.58829,-0.251
KZtDIJKxmsiZKt,"CkuVvuU02y,YkRMTMGke,SPPXBBH,icGYOs,ZSrkK,tUQph5,RH93KoWoE",0.33512,-0.368
65vTGe,"WcBoQsPG,qFl7ozk,5SJjf9nP,U6rbzgu6,anro1O3",0.09471,-0.85
yflLOMlbXB2w5cSH,"rpyoc,kuZ1Ong,LBfQ6veoyN,HGZJp3QEiz,EYVd9LmHB",0.55638,-0.22
MKPjc4jKr4C2JnDJy9,"4iCnU4SbmG,f6D88VWNDt,bI1TsZr,pZqK7,hGKdGAC1,EZT2gC",0.30655,0.942
VbaD5jKYb,"VqQwXtdb7n,I5qecQGZGH,hZzqsKe6rF,lLhMMM2P,ERsfZo",0.22065,0.447
5OEl1NPDCrsT3X,"w0o6Gb,AOk3Zq,4Vzbeo,JWxIUk,vPXNDRY,4HsJRZEc,jNKdf7d7Oj,vTArU7",0.17488,-0.001
2kmFJc,"RD1g7,GfFTep,YSAczCe,Qa7830S,7YNghg",0.58621,-0.679
vxJV9FU,"8fh5MKsN,YEWNnH9",0.15957,-0.699
Hqr6F8DwL5P9Z4,"azVUbbt2,S7yTI,SLiosLB6q,KtdrlfP,2xKZs,til1V,Bfn8f,x6feJ1,uB1cS,O8ez9c",0.66649,-0.381
YQBIWK,"5575rS4OVa,AJWd3nRLG,BwewcQ,q5JdygxT,UL11DYk,FgIaZcN,8alYgS,7TAdkHy,XjOkt",0.73367,0.578
srGmKNGzHg,"uCJMseo0C,Gd4yIB,4SPxEY",0.77864,-0.054
Xyh3JyiD9G9,"Rmo0x6BWT,lQfZRGsOP,vPRh7f,HuNTv,GOXTcfPwZx,3aHWIXb,Njnkg3e,7wSUm,9QkiRO",0.71902,-0.77
hH0j0TSJS,2XkaoXGg4N,0.63428,-0.828
O5u6SK2MQ0FltIiNY0UJ,"RAVZro8Fxl,3ssZHWS,fVMVEic,cSxfjCx",0.39955,-0.995
JQu1oUGEiqh9eFmjUHK,"cSuZiytjo,LeaREKwE7X,sN827,fNfpTq,SXvZZFvE",0.19219,0.986
CWQSkKzRFQT9,"fCmD8,ObMNOS7iX,clBNsc6m",0.69908,-0.774
